physicalProgress,financialProgress,plannedProgress,actualProgress,approvedCost,revisedCost,expenditure,progressGap,costEscalation,riskLevel
5.2,11.0,17.1,5.2,1015.53,1086.01,661.02,11.9,6.94,Medium
68.3,77.4,80.3,68.3,2786.95,3445.51,1620.05,12.0,23.63,High
64.5,64.4,92.3,64.5,1724.77,2059.89,1418.02,27.8,19.43,Critical
79.4,70.2,78.8,79.4,1061.31,1299.79,566.55,-0.6,22.47,High
31.0,40.1,32.1,31.0,2159.25,2769.89,1026.51,1.1,28.28,Critical
49.4,35.8,49.1,49.4,1409.68,1546.0,370.48,-0.3,9.67,Low
13.2,27.5,41.9,13.2,1810.56,2326.93,1628.85,28.7,28.52,Critical
65.5,51.9,71.4,65.5,2317.55,2644.79,1399.3,5.9,14.12,Medium
87.4,92.9,90.4,87.4,1977.4,2269.07,252.23,3.0,14.75,Medium
36.3,44.8,44.3,36.3,2601.65,2858.95,1664.07,8.0,9.89,Low
30.9,44.4,59.1,30.9,1740.27,1977.64,552.26,28.2,13.64,Critical
34.1,33.2,63.1,34.1,1640.87,2127.22,999.31,29.0,29.64,Critical
53.8,45.4,64.4,53.8,1212.98,1488.21,705.47,10.6,22.69,High
73.4,77.6,77.1,73.4,2797.48,3165.07,1800.21,3.7,13.14,Medium
15.9,22.2,45.0,15.9,870.03,911.36,450.86,29.1,4.75,Critical
54.7,74.4,54.8,54.7,2756.2,3137.66,413.01,0.1,13.84,High
79.9,90.0,93.3,79.9,1624.84,1758.08,1234.09,13.4,8.2,Medium
93.2,97.5,98.2,93.2,1274.04,1626.44,614.09,5.0,27.66,Critical
84.1,78.8,100,84.1,2412.02,2712.32,2036.01,15.9,12.45,Medium
50.7,45.6,74.8,50.7,1035.96,1218.39,931.4,24.1,17.61,High
49.1,53.0,51.0,49.1,1166.35,1359.5,597.07,1.9,16.56,Medium
46.0,37.6,53.6,46.0,2153.0,2522.24,535.08,7.6,17.15,Medium
74.8,85.9,73.2,74.8,2174.64,2703.95,822.38,-1.6,24.34,High
64.7,84.0,88.8,64.7,1586.92,1604.53,756.88,24.1,1.11,High
58.1,73.7,83.8,58.1,1432.86,1658.97,628.15,25.7,15.78,Critical
70.0,77.9,80.5,70.0,632.21,721.23,552.44,10.5,14.08,Medium
35.5,43.2,55.4,35.5,2584.94,3245.91,2017.39,19.9,25.57,Critical
39.2,49.4,46.6,39.2,2326.33,2935.13,187.3,7.4,26.17,Critical
11.2,28.4,29.0,11.2,2992.79,3663.17,1253.61,17.8,22.4,High
13.9,29.4,31.8,13.9,1442.3,1742.59,1179.67,17.9,20.82,High
9.1,4.4,32.4,9.1,1249.56,1304.17,626.64,23.3,4.37,High
55.9,46.8,79.1,55.9,421.11,531.15,242.88,23.2,26.13,Critical
26.7,16.7,53.8,26.7,1491.22,1604.85,398.2,27.1,7.62,Critical
5.8,22.3,29.4,5.8,2097.31,2196.72,892.34,23.6,4.74,High
36.1,43.5,52.5,36.1,1388.07,1492.18,1066.74,16.4,7.5,Medium
22.9,24.8,32.6,22.9,864.18,1012.47,465.44,9.7,17.16,Medium
94.3,100,100,94.3,2043.04,2211.18,1084.94,5.7,8.23,Low
66.7,53.4,88.3,66.7,1897.94,2180.73,1553.52,21.6,14.9,High
30.8,37.0,54.2,30.8,1186.5,1413.12,685.51,23.4,19.1,High
66.0,74.1,86.8,66.0,2547.34,3027.51,2083.45,20.8,18.85,High
63.2,63.6,70.4,63.2,1822.81,2223.28,230.79,7.2,21.97,High
31.6,22.7,53.3,31.6,570.05,662.28,499.23,21.7,16.18,High
52.8,66.9,79.9,52.8,919.52,1147.01,422.58,27.1,24.74,Critical
77.6,74.5,99.2,77.6,522.48,673.42,88.64,21.6,28.89,Critical
92.0,100,100,92.0,2943.84,3798.14,2160.48,8.0,29.02,Critical
37.9,23.4,61.0,37.9,1702.4,1934.61,1058.73,23.1,13.64,High
65.5,79.3,81.8,65.5,2832.82,2924.89,704.66,16.3,3.25,Medium
7.3,11.9,33.5,7.3,2762.72,2946.16,286.59,26.2,6.64,Critical
79.1,74.7,100,79.1,1343.23,1399.51,1147.55,20.9,4.19,High
32.4,20.8,45.7,32.4,2684.33,2793.58,1169.29,13.3,4.07,Medium
65.3,83.4,86.8,65.3,1373.55,1679.44,249.09,21.5,22.27,High
42.3,44.4,42.6,42.3,1342.72,1726.07,104.48,0.3,28.55,Critical
38.3,56.6,49.9,38.3,2595.26,2672.6,1642.35,11.6,2.98,High
54.0,51.6,83.3,54.0,1314.79,1389.6,202.26,29.3,5.69,Critical
81.3,89.5,93.3,81.3,1996.77,2354.39,136.09,12.0,17.91,Medium
75.8,65.2,80.8,75.8,1780.82,1817.5,1247.26,5.0,2.06,Low
23.6,39.0,27.7,23.6,1119.97,1169.58,913.28,4.1,4.43,High
5.3,0,30.6,5.3,563.98,606.39,111.85,25.3,7.52,Critical
64.5,50.0,62.4,64.5,2411.96,2584.17,784.38,-2.1,7.14,Low
20.7,31.7,19.4,20.7,1673.04,2047.3,760.91,-1.3,22.37,High
75.0,63.8,88.9,75.0,1610.75,2067.56,139.91,13.9,28.36,Critical
75.5,78.8,100,75.5,1482.52,1911.26,150.77,24.5,28.92,Critical
48.1,57.1,58.4,48.1,1572.75,2001.95,176.88,10.3,27.29,Critical
12.3,0,29.4,12.3,970.04,1154.25,500.64,17.1,18.99,Medium
34.3,37.9,64.1,34.3,1470.4,1737.42,197.48,29.8,18.16,Critical
68.2,76.0,93.3,68.2,2353.1,2862.08,547.73,25.1,21.63,Critical
45.6,42.5,50.1,45.6,1469.8,1653.23,192.28,4.5,12.48,Medium
43.4,41.5,62.3,43.4,627.39,801.11,67.17,18.9,27.69,Critical
79.9,68.3,80.0,79.9,2268.63,2821.04,1186.3,0.1,24.35,High
57.8,54.3,73.3,57.8,542.25,599.78,333.78,15.5,10.61,Medium
72.5,82.7,98.1,72.5,2911.52,3435.88,1015.83,25.6,18.01,Critical
57.0,65.0,61.0,57.0,827.89,854.8,636.29,4.0,3.25,Low
38.1,43.2,60.3,38.1,2460.22,3083.89,2160.97,22.2,25.35,Critical
78.7,86.2,95.9,78.7,273.51,349.74,206.51,17.2,27.87,Critical
29.1,38.7,32.1,29.1,1065.16,1173.7,58.79,3.0,10.19,Medium
83.3,82.3,99.0,83.3,597.25,710.73,45.43,15.7,19.0,Medium
72.2,71.9,76.3,72.2,1154.51,1282.66,765.85,4.1,11.1,Medium
74.9,62.9,90.6,74.9,347.3,363.69,199.75,15.7,4.72,Medium
65.7,73.9,71.7,65.7,1559.85,1766.69,440.18,6.0,13.26,Medium
72.9,72.9,73.7,72.9,993.09,1195.18,460.43,0.8,20.35,High
65.0,63.8,63.5,65.0,1878.11,1882.43,575.09,-1.5,0.23,Low
24.0,17.9,25.5,24.0,1118.74,1121.31,766.29,1.5,0.23,Low
20.8,30.4,30.3,20.8,1600.73,2000.91,1176.97,9.5,25.0,Critical
11.5,0,36.9,11.5,252.48,322.24,197.64,25.4,27.63,Critical
56.8,66.6,72.7,56.8,1369.54,1416.93,92.76,15.9,3.46,Medium
34.2,40.8,57.6,34.2,2529.67,3227.61,315.98,23.4,27.59,Critical
81.0,86.6,86.0,81.0,1667.1,1864.98,523.02,5.0,11.87,Medium
35.6,26.5,43.6,35.6,1629.35,1685.07,787.72,8.0,3.42,Low
86.5,97.0,95.0,86.5,2493.06,3102.61,625.33,8.5,24.45,High
18.2,24.3,21.7,18.2,2328.6,2786.64,467.06,3.5,19.67,Medium
74.6,86.0,87.9,74.6,2327.66,2641.2,1944.83,13.3,13.47,Medium
55.8,62.7,73.8,55.8,2619.89,3112.95,467.16,18.0,18.82,Medium
11.1,6.7,22.7,11.1,969.09,985.47,466.36,11.6,1.69,Medium
32.9,19.9,44.8,32.9,2528.75,2586.91,1984.09,11.9,2.3,Medium
82.0,84.7,99.3,82.0,1495.59,1744.31,1081.38,17.3,16.63,Medium
85.6,98.9,97.4,85.6,2025.14,2220.57,919.99,11.8,9.65,Medium
18.6,7.2,17.6,18.6,2717.56,2997.47,1785.89,-1.0,10.3,Medium
50.4,44.1,53.1,50.4,1425.72,1613.63,704.78,2.7,13.18,Medium
19.3,14.2,28.6,19.3,1344.55,1481.02,750.53,9.3,10.15,Medium
76.0,63.3,94.4,76.0,464.62,559.17,135.45,18.4,20.35,High
70.1,86.8,88.8,70.1,2645.18,2909.7,1442.49,18.7,10.0,High
17.7,36.6,26.2,17.7,2155.74,2409.26,1198.13,8.5,11.76,High
89.4,87.6,96.6,89.4,2416.65,3006.31,1497.35,7.2,24.4,High
79.6,88.6,100,79.6,1673.9,1998.3,686.12,20.4,19.38,High
37.6,28.9,46.6,37.6,799.74,1027.11,370.54,9.0,28.43,Critical
25.4,13.1,26.9,25.4,2564.4,2642.1,1808.53,1.5,3.03,Low
80.2,66.5,100,80.2,1142.94,1405.7,184.46,19.8,22.99,High
38.9,53.0,41.3,38.9,2359.07,2931.62,449.89,2.4,24.27,High
44.4,53.1,55.0,44.4,865.08,980.4,252.77,10.6,13.33,Medium
72.4,76.1,84.2,72.4,1066.51,1325.25,478.5,11.8,24.26,High
80.2,98.3,89.3,80.2,2956.43,3365.9,855.9,9.1,13.85,High
39.4,58.2,53.8,39.4,2487.3,3085.25,416.97,14.4,24.04,High
27.5,43.1,45.7,27.5,1752.71,1806.69,1347.85,18.2,3.08,High
81.6,93.3,88.0,81.6,963.82,1225.59,168.91,6.4,27.16,Critical
44.4,37.2,72.6,44.4,1463.16,1616.65,106.33,28.2,10.49,Critical
9.8,3.1,23.4,9.8,2984.67,3320.45,220.74,13.6,11.25,Medium
88.8,96.5,100,88.8,2415.87,2515.65,709.9,11.2,4.13,Medium
79.7,69.6,99.7,79.7,2175.5,2468.32,118.49,20.0,13.46,High
12.1,26.3,17.5,12.1,1736.65,2115.59,865.9,5.4,21.82,High
15.0,10.5,21.5,15.0,333.7,375.71,241.87,6.5,12.59,Medium
46.1,62.8,46.8,46.1,1870.87,1880.04,913.11,0.7,0.49,High
26.8,26.8,28.5,26.8,1921.47,2060.2,776.43,1.7,7.22,Low
64.8,83.9,64.6,64.8,389.5,450.96,187.44,-0.2,15.78,High
93.9,92.6,100,93.9,1516.38,1805.55,1340.3,6.1,19.07,Medium
27.8,40.4,25.3,27.8,1165.45,1421.73,680.64,-2.5,21.99,High
74.4,71.0,95.7,74.4,324.14,377.23,240.34,21.3,16.38,High
